id,title,dept,size,depth
APBI 426,APBI 426,APBI,7,3
BIOL 200,BIOL 200,BIOL,7,2
BIOC 202,BIOC 202,BIOC,3,3
BIOC 203,BIOC 203,BIOC,4,4
BIOL 233,BIOL 233,BIOL,6,2
BIOL 234,BIOL 234,BIOL,7,2
APBI 427,APBI 427,APBI,3,3
BIOL 205,BIOL 205,BIOL,4,2
BIOL 327,BIOL 327,BIOL,2,2
APBI 428,APBI 428,APBI,1,2
APBI 440,APBI 440,APBI,1,2
BIOL 335,BIOL 335,BIOL,7,1
APBI 442,APBI 442,APBI,6,3
APBI 443,APBI 443,APBI,2,2
APBI 460,APBI 460,APBI,1,2
APBI 462,APBI 462,APBI,4,1
BIOL 300,BIOL 300,BIOL,9,2
GEOG 374,GEOG 374,GEOG,0,0
FRST 231,FRST 231,FRST,6,1
LFS 252,LFS 252,LFS,7,1
APBI 463,APBI 463,APBI,7,3
STAT 200,STAT 200,STAT,8,2
APBI 465,APBI 465,APBI,1,2
APBI 495,APBI 495,APBI,4,3
FRST 395,FRST 395,FRST,3,3
APBI 496,APBI 496,APBI,2,1
APSC 101,APSC 101,APSC,1,1
APSC 100,APSC 100,APSC,0,0
APSC 173,APSC 173,APSC,2,1
APSC 172,APSC 172,APSC,0,0
APSC 178,APSC 178,APSC,2,2
APSC 201,APSC 201,APSC,8,1
APSC 176,APSC 176,APSC,0,0
ENGL 110,ENGL 110,ENGL,0,0
ENGL 111,ENGL 111,ENGL,0,0
ENGL 112,ENGL 112,ENGL,0,0
ENGL 120,ENGL 120,ENGL,0,0
ENGL 121,ENGL 121,ENGL,0,0
APSC 202,APSC 202,APSC,7,3
ENPH 259,ENPH 259,ENPH,18,2
APSC 203,APSC 203,APSC,2,4
ENPH 253,ENPH 253,ENPH,2,3
APSC 210,APSC 210,APSC,1,1
APSC 110,APSC 110,APSC,0,0
APSC 279,APSC 279,APSC,1,1
APSC 278,APSC 278,APSC,1,0
APSC 332,APSC 332,APSC,1,1
APSC 331,APSC 331,APSC,0,0
APSC 461,APSC 461,APSC,0,0
APSC 462,APSC 462,APSC,1,1
ARBC 102,ARBC 102,ARBC,1,1
ARBC 101,ARBC 101,ARBC,0,0
ARBC 201,ARBC 201,ARBC,1,2
ARBC 202,ARBC 202,ARBC,1,3
ARBC 420,ARBC 420,ARBC,1,4
ARBM 102,ARBM 102,ARBM,1,1
ARBM 101,ARBM 101,ARBM,0,0
ARCL 305,ARCL 305,ARCL,1,1
ARCL 203,ARCL 203,ARCL,0,0
ARCL 306,ARCL 306,ARCL,1,2
ARCL 324,ARCL 324,ARCL,1,1
ARCL 232,ARCL 232,ARCL,0,0
